"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID","SYMBOL","GENENAME","ENTREZID","Direction"
6.81461,9.50561333333333,70.6119498384773,2.00492470878767e-09,1.8435454264753e-05,11.6772869927655,"8074856","PRAME","PRAME nuclear receptor transcriptional regulator","23532","Upregulated"
7.127975,7.24829833333333,69.7733846883206,2.14244881343751e-09,1.8435454264753e-05,11.64347109159,"7951686","IL18","interleukin 18","3606","Upregulated"
-7.703075,8.85043666666667,-61.0843859832441,4.48344651935544e-09,1.8435454264753e-05,11.2358498864275,"7965410","DCN","decorin","1634","Downregulated"
-6.65609,7.83173,-60.7546274673872,4.6202193902011e-09,1.8435454264753e-05,11.2180408212283,"7927631","DKK1","dickkopf Wnt signaling pathway inhibitor 1","22943","Downregulated"
-5.687955,7.98832166666667,-60.5659236158169,4.70070079314443e-09,1.8435454264753e-05,11.2077628590578,"7942957","PRSS23","serine protease 23","11098","Downregulated"
-7.32119,8.335345,-60.5247983688122,4.71845936263886e-09,1.8435454264753e-05,11.2055144825996,"8051583","CYP1B1","cytochrome P450 family 1 subfamily B member 1","1545","Downregulated"
-7.650865,8.743045,-59.6777318191323,5.10245998076116e-09,1.8435454264753e-05,11.158521949473,"8120967","NT5E","5'-nucleotidase ecto","4907","Downregulated"
-5.53734,7.76832166666667,-58.9990394834234,5.43692963870724e-09,1.8435454264753e-05,11.1199109072707,"8083594","PTX3","pentraxin 3","5806","Downregulated"
-5.63748,9.50647666666667,-58.6979219476048,5.59356975224447e-09,1.8435454264753e-05,11.1024999389466,"8146863","SULF1","sulfatase 1","23213","Downregulated"
-6.08232,7.80549666666667,-57.8604679145366,6.05801341531357e-09,1.8435454264753e-05,11.0531484536866,"8089145","ABI3BP","ABI family member 3 binding protein","25890","Downregulated"
-5.441735,7.72098,-57.2156657768669,6.44680842559171e-09,1.8435454264753e-05,11.0141954855045,"7919815","CTSK","cathepsin K","1513","Downregulated"
5.621045,8.01625166666667,56.905919166483,6.64400550130751e-09,1.8435454264753e-05,10.9951807048338,"8114249","CXCL14","C-X-C motif chemokine ligand 14","9547","Upregulated"
-5.53512,9.00990833333333,-54.5418881859259,8.40817740873444e-09,2.15359294752793e-05,10.8432725598748,"7934906","ACTA2","actin alpha 2, smooth muscle","59","Downregulated"
-6.065275,9.12044166666667,-53.6991717817296,9.16707784782316e-09,2.18025850784977e-05,10.7860714093018,"8106743","VCAN","versican","1462","Downregulated"
-4.922345,8.294975,-52.7673393667987,1.01022515033825e-08,2.24249778872085e-05,10.720841318599,"8176624","DDX3Y","DEAD-box helicase 3 Y-linked","8653","Downregulated"
-5.44529,8.82400333333333,-51.9834286254235,1.09770981663397e-08,2.26305847889477e-05,10.6642944810276,"8131614","AHR","aryl hydrocarbon receptor","196","Downregulated"
5.3354,9.60924666666667,50.6852960698443,1.26306681506012e-08,2.26305847889477e-05,10.567143395718,"7963567","KRT8","keratin 8","3856","Upregulated"
-5.48579,7.62243666666667,-50.5909007737934,1.27619790755285e-08,2.26305847889477e-05,10.559902592849,"8143127","FAM180A","family with sequence similarity 180 member A","389558","Downregulated"
-5.00855,9.61807333333333,-50.4238556187788,1.29983192725346e-08,2.26305847889477e-05,10.5470290608936,"8007100","IGFBP4","insulin like growth factor binding protein 4","3487","Downregulated"
-5.41835,6.03884166666667,-50.0188027184119,1.35931674258628e-08,2.26305847889477e-05,10.5154918413645,"8174598","IL13RA2","interleukin 13 receptor subunit alpha 2","3598","Downregulated"
-6.246565,9.457895,-48.8793940042053,1.5446826364824e-08,2.40232925123536e-05,10.4242739095191,"8069676","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1","9510","Downregulated"
-6.36091,8.94460166666667,-48.6403551486576,1.58726742731111e-08,2.40232925123536e-05,10.4046554340489,"8139488","IGFBP3","insulin like growth factor binding protein 3","3486","Downregulated"
-5.08914,9.05738666666667,-47.1756996872369,1.88063819888508e-08,2.57077026558908e-05,10.2806381034362,"8176375","RPS4Y1","ribosomal protein S4 Y-linked 1","6192","Downregulated"
5.384,6.78245833333333,47.1039019209179,1.89659304049192e-08,2.57077026558908e-05,10.274385667537,"8167862","PAGE2B","PAGE family member 2B","389860","Upregulated"
-4.6841,7.63229,-46.8837667988488,1.94651595116608e-08,2.57077026558908e-05,10.2551118319967,"8055624","ZEB2","zinc finger E-box binding homeobox 2","9839","Downregulated"
-4.693155,8.72362833333333,-46.6241893376421,2.00738886101799e-08,2.57077026558908e-05,10.2321821853458,"8045835","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5","11227","Downregulated"
4.679065,9.691915,45.7815649613581,2.22106091968589e-08,2.73906168306596e-05,10.1562077922881,"8154725","MIR622","microRNA 622","693207","Upregulated"
-5.45082,9.20651,-45.2147826445171,2.37992862200767e-08,2.80984768619903e-05,10.1037432054782,"8023497","ATP8B1","ATPase phospholipid transporting 8B1","5205","Downregulated"
-5.416905,9.519465,-44.9879687186503,2.44723497311385e-08,2.80984768619903e-05,10.0824332835139,"8163257","LPAR1","lysophosphatidic acid receptor 1","1902","Downregulated"
-4.179665,8.35230166666667,-43.9263836783254,2.79372571804191e-08,2.86050706998497e-05,9.98023032785854,"8015179","KRTAP1-5","keratin associated protein 1-5","83895","Downregulated"
-4.179665,8.35230166666667,-43.9263836783254,2.79372571804191e-08,2.86050706998497e-05,9.98023032785854,"8019588","KRTAP1-5","keratin associated protein 1-5","83895","Downregulated"
-4.687905,10.7187483333333,-43.9260039981403,2.79385961607667e-08,2.86050706998497e-05,9.98019303316886,"7988467","FBN1","fibrillin 1","2200","Downregulated"
-4.650955,5.90457833333333,-43.4588235366647,2.96450670700443e-08,2.86050706998497e-05,9.93389184031471,"7995697","LPCAT2","lysophosphatidylcholine acyltransferase 2","54947","Downregulated"
-5.09492,8.83414166666667,-43.3382620474159,3.01052116187015e-08,2.86050706998497e-05,9.92180844801855,"7989985","ITGA11","integrin subunit alpha 11","22801","Downregulated"
-4.2918,8.08086333333333,-43.1048432155143,3.10202651147403e-08,2.86050706998497e-05,9.89825450243232,"8152522","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2","5168","Downregulated"
-4.29696,8.46916666666667,-42.9499872505346,3.16454503741117e-08,2.86050706998497e-05,9.88251131681941,"8148070","COL14A1","collagen type XIV alpha 1 chain","7373","Downregulated"
6.010295,6.669155,42.9156030831656,3.17862755171468e-08,2.86050706998497e-05,9.87900296641381,"8031570","RFPL4A","ret finger protein like 4A","342931","Upregulated"
-4.37106,10.0191466666667,-42.3094498132858,3.43945137724587e-08,2.95228899799639e-05,9.81638466884869,"7952341","CLMP","CXADR like cell adhesion molecule","79827","Downregulated"
4.099375,6.97431166666667,42.1605849486619,3.50731801234744e-08,2.95228899799639e-05,9.80078041916559,"8098441","TENM3","teneurin transmembrane protein 3","55714","Upregulated"
4.48307,6.86404666666667,42.0759371614416,3.54661260533548e-08,2.95228899799639e-05,9.7918672315237,"8089464","LOC151760","putative uncharacterized protein LOC151760","151760","Upregulated"
-4.12923,7.64050166666667,-41.6722519695687,3.74130446908656e-08,2.97238048913615e-05,9.74895432598794,"7907222","PRRX1","paired related homeobox 1","5396","Downregulated"
-4.024215,8.93350833333333,-41.5520385204502,3.80169937089448e-08,2.97238048913615e-05,9.73604428388098,"8083887","CLDN11","claudin 11","5010","Downregulated"
-5.018955,9.34930833333333,-41.4797805513508,3.83855485577843e-08,2.97238048913615e-05,9.72825509041325,"8121563","MARCKS","myristoylated alanine rich protein kinase C substrate","4082","Downregulated"
-5.52955,7.60264666666667,-41.1217067693692,4.02753064041049e-08,3.04783381213064e-05,9.68932908188834,"8104746","NPR3","natriuretic peptide receptor 3","4883","Downregulated"
3.935185,7.661325,40.5551584351118,4.34944008968553e-08,3.12356838165819e-05,9.62661038397317,"8108697","PCDHB5","protocadherin beta 5","26167","Upregulated"
-4.31115,7.70183333333333,-40.4868224211525,4.39028429536476e-08,3.12356838165819e-05,9.61895024157563,"8014233","SLFN11","schlafen family member 11","91607","Downregulated"
-6.864055,6.58916166666667,-40.4556977157144,4.409037268761e-08,3.12356838165819e-05,9.61545444541004,"7903358","VCAM1","vascular cell adhesion molecule 1","7412","Downregulated"
6.035445,6.44824833333333,40.1263108630847,4.6134000341753e-08,3.20025793620698e-05,9.57819384718777,"8031573","RFPL4A","ret finger protein like 4A","342931","Upregulated"
-4.79666,8.27397666666667,-39.6879564238433,4.90296290253761e-08,3.32607048213942e-05,9.52784463013005,"8094778","UCHL1","ubiquitin C-terminal hydrolase L1","7345","Downregulated"
7.10955,7.71907,39.4869356117843,5.04289050417842e-08,3.32607048213942e-05,9.50445954305411,"7973433","DHRS2","dehydrogenase/reductase 2","10202","Upregulated"
-4.849225,7.93901666666667,-39.4145304133553,5.09444077812147e-08,3.32607048213942e-05,9.4959903835159,"7985786","ACAN","aggrecan","176","Downregulated"
-5.54812,10.2252766666667,-38.6963861172031,5.64089151898543e-08,3.6008782278235e-05,9.41064363725698,"8124531","H3C11","H3 clustered histone 11","8354","Downregulated"
3.876215,6.52668166666667,38.5850809320172,5.73164387406209e-08,3.6008782278235e-05,9.39719337404672,"8140650","SEMA3E","semaphorin 3E","9723","Upregulated"
-4.11444,7.221905,-38.3918929666355,5.89328084607799e-08,3.63386245058998e-05,9.37370405302712,"7984813","ISLR","immunoglobulin superfamily containing leucine rich repeat","3671","Downregulated"
-6.77553,7.95223166666667,-38.1809352436249,6.07596393845242e-08,3.65327083016029e-05,9.34784319164699,"7985317","CEMIP","cell migration inducing hyaluronidase 1","57214","Downregulated"
5.28928,7.71235833333333,37.9783236366837,6.25773830652557e-08,3.65327083016029e-05,9.32279590279874,"7963353","KRT81","keratin 81","3887","Upregulated"
-4.28803,8.22987,-37.8755362304689,6.35240358183048e-08,3.65327083016029e-05,9.31000987363298,"7949971","CPT1A","carnitine palmitoyltransferase 1A","1374","Downregulated"
-5.342995,7.87473333333333,-37.7511305660918,6.4692472497126e-08,3.65327083016029e-05,9.2944628063622,"8115851","STC2","stanniocalcin 2","8614","Downregulated"
-5.037555,6.71858666666667,-37.6862383815721,6.5312001044993e-08,3.65327083016029e-05,9.28632178025872,"8161884","PRUNE2","prune homolog 2 with BCH domain","158471","Downregulated"
4.10188,6.260715,37.5598614533813,6.65387256667374e-08,3.65327083016029e-05,9.27040506688836,"8170580","CSAG3","CSAG family member 3","389903","Upregulated"
-7.05764,11.1224033333333,-37.4343508576939,6.77840232291524e-08,3.65327083016029e-05,9.25451573077672,"8134263","COL1A2","collagen type I alpha 2 chain","1278","Downregulated"
-3.620565,11.4069283333333,-37.4103788940063,6.80249846742763e-08,3.65327083016029e-05,9.25147162847525,"8108217","TGFBI","transforming growth factor beta induced","7045","Downregulated"
-4.885785,7.75927166666667,-37.2329207771134,6.98405226918928e-08,3.65374759812014e-05,9.22884352751913,"7965403","LUM","lumican","4060","Downregulated"
4.889795,10.4268516666667,37.195703186887,7.02285029521245e-08,3.65374759812014e-05,9.22407685572236,"7969574","MIR622","microRNA 622","693207","Upregulated"
-3.730915,8.13486166666667,-36.9976799476487,7.23360766410412e-08,3.69933794966448e-05,9.19859170479023,"7934570","KCNMA1","potassium calcium-activated channel subfamily M alpha 1","3778","Downregulated"
4.22614,7.4904,36.9069291816637,7.33268176345784e-08,3.69933794966448e-05,9.18684258210099,"8067955","CXADR","CXADR cell adhesion molecule","1525","Upregulated"
5.08266,7.3511,36.7261222152031,7.53488304329161e-08,3.74461195063404e-05,9.16330255858272,"8162652","CTSV","cathepsin V","1515","Upregulated"
-4.032195,8.41161,-36.2992952540551,8.03887823854927e-08,3.92404171401569e-05,9.10702760147903,"8180344","GNAQ","G protein subunit alpha q","2776","Downregulated"
-4.45643,8.48102666666667,-36.2241847387234,8.13162982452122e-08,3.92404171401569e-05,9.09702096733432,"8156199","DAPK1","death associated protein kinase 1","1612","Downregulated"
-3.82751,7.98050166666667,-36.0435564397269,8.3598974275933e-08,3.9434443090341e-05,9.07282802779818,"7922846","NIBAN1","niban apoptosis regulator 1","116496","Downregulated"
-5.796795,8.360745,-36.0056917929116,8.4087018632736e-08,3.9434443090341e-05,9.06773335901827,"7933194","CXCL12","C-X-C motif chemokine ligand 12","6387","Downregulated"
-3.89279,7.19726666666667,-35.7297732818696,8.77466450023757e-08,4.05791672033903e-05,9.03036402893837,"8051762","SLC8A1","solute carrier family 8 member A1","6546","Downregulated"
3.42243,7.32727,35.2882303175734,9.40015512252806e-08,4.14657615671538e-05,8.96965544397188,"7920285","S100A2","S100 calcium binding protein A2","6273","Upregulated"
-4.841315,7.41629166666667,-34.9416116893527,9.92823069923706e-08,4.14657615671538e-05,8.92119975685606,"7909730","KCNK2","potassium two pore domain channel subfamily K member 2","3776","Downregulated"
5.235175,5.76717833333333,34.9363750004878,9.93647314912711e-08,4.14657615671538e-05,8.92046222658431,"8170060","CT45A1","cancer/testis antigen family 45 member A1","541466","Upregulated"
-3.59958,8.30357166666667,-34.9314606520725,9.94421558147263e-08,4.14657615671538e-05,8.9197699454741,"7946142","CAVIN3","caveolae associated protein 3","112464","Downregulated"
-5.437315,5.06585333333333,-34.9293063656289,9.94761184822138e-08,4.14657615671538e-05,8.91946642704272,"7915612","PTCH2","patched 2","8643","Downregulated"
4.14993,6.21733333333333,34.9074815429004,9.98209626054491e-08,4.14657615671538e-05,8.91638995357297,"8175710","CSAG3","CSAG family member 3","389903","Upregulated"
3.847335,8.56545666666667,34.8422025279408,1.00860852059268e-07,4.14657615671538e-05,8.90717106423505,"8015387","KRT17","keratin 17","3872","Upregulated"
-4.457735,9.25288333333333,-34.7831696611198,1.018122557413e-07,4.14657615671538e-05,8.89881224654434,"8096050","FGF5","fibroblast growth factor 5","2250","Downregulated"
-3.740405,6.09889,-34.7447123120292,1.02437747685471e-07,4.14657615671538e-05,8.89335555158937,"8095021","SPATA18","spermatogenesis associated 18","132671","Downregulated"
-7.35763,8.59107666666667,-34.7358495305963,1.02582538746671e-07,4.14657615671538e-05,8.89209675051343,"7971077","POSTN","periostin","10631","Downregulated"
-3.55567,9.70137666666667,-34.5824902870435,1.05126594050364e-07,4.14657615671538e-05,8.87023944772139,"7938390","ADM","adrenomedullin","133","Downregulated"
-3.36158,9.76535666666667,-34.5477405818323,1.0571334748224e-07,4.14657615671538e-05,8.8652669274193,"7931097","HTRA1","HtrA serine peptidase 1","5654","Downregulated"
-4.57217,6.91967833333333,-34.5394991104415,1.05853071844553e-07,4.14657615671538e-05,8.86408653043,"8067839","FGF7","fibroblast growth factor 7","2252","Downregulated"
-3.43763,8.42077,-34.0807326918863,1.13986003322145e-07,4.3794340417289e-05,8.79771910398586,"8118890","SCUBE3","signal peptide, CUB domain and EGF like domain containing 3","222663","Downregulated"
4.04496,6.84408833333333,34.0569166134245,1.14427954960031e-07,4.3794340417289e-05,8.79423801807185,"8091078","RBP1","retinol binding protein 1","5947","Upregulated"
3.82129,5.65664666666667,33.812778169304,1.19076916846434e-07,4.50557284117696e-05,8.75834719682765,"8162570","HSD17B3","hydroxysteroid 17-beta dehydrogenase 3","3293","Upregulated"
-3.635385,7.35387,-33.7238456791908,1.2082549766357e-07,4.52036696146504e-05,8.74517919669162,"7948987","PLAAT3","phospholipase A and acyltransferase 3","11145","Downregulated"
-4.70815,7.51105833333333,-33.5060596733473,1.25237021218367e-07,4.58191616254798e-05,8.71271789540682,"8056222","DPP4","dipeptidyl peptidase 4","1803","Downregulated"
-3.11915,8.13125833333333,-33.4153643228654,1.27130010975918e-07,4.58191616254798e-05,8.69910918095976,"8015196","KRTAP1-4","keratin associated protein 1-4","728255","Downregulated"
